model,training,eval_lang,step,pred_langs
text2vec_cmn_Hani,['cmn_Hani'],deu_Latn,Labels,{'deu_Latn': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],deu_Latn,Step1,"{'eng_Latn': 0.73, 'deu_Latn': 0.06, 'cmn_Hani': 0.07}"
text2vec_cmn_Hani,['cmn_Hani'],deu_Latn,Step50+sbeam8,"{'eng_Latn': 0.74, 'deu_Latn': 0.07, 'cmn_Hani': 0.06}"
text2vec_cmn_Hani,['cmn_Hani'],deu_Latn,Base,"{'eng_Latn': 0.74, 'deu_Latn': 0.06}"
text2vec_cmn_Hani,['cmn_Hani'],ydd_Hebr,Labels,{'heb_Hebr': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],ydd_Hebr,Step1,"{'cmn_Hani': 0.19, 'eng_Latn': 0.13}"
text2vec_cmn_Hani,['cmn_Hani'],ydd_Hebr,Step50+sbeam8,"{'eng_Latn': 0.1, 'cmn_Hani': 0.11}"
text2vec_cmn_Hani,['cmn_Hani'],ydd_Hebr,Base,"{'cmn_Hani': 0.42, 'eng_Latn': 0.16}"
text2vec_cmn_Hani,['cmn_Hani'],heb_Hebr,Labels,{'heb_Hebr': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],heb_Hebr,Step1,"{'cmn_Hani': 0.08, 'eng_Latn': 0.09}"
text2vec_cmn_Hani,['cmn_Hani'],heb_Hebr,Step50+sbeam8,{'eng_Latn': 0.1}
text2vec_cmn_Hani,['cmn_Hani'],heb_Hebr,Base,"{'cmn_Hani': 0.49, 'eng_Latn': 0.14}"
text2vec_cmn_Hani,['cmn_Hani'],arb_Arab,Labels,{'arb_Arab': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],arb_Arab,Step1,"{'eng_Latn': 0.06, 'cmn_Hani': 0.11}"
text2vec_cmn_Hani,['cmn_Hani'],arb_Arab,Step50+sbeam8,{}
text2vec_cmn_Hani,['cmn_Hani'],arb_Arab,Base,"{'cmn_Hani': 0.63, 'eng_Latn': 0.12}"
text2vec_cmn_Hani,['cmn_Hani'],amh_Ethi,Labels,"{'amh_Ethi': 0.78, 'eng_Latn': 0.17}"
text2vec_cmn_Hani,['cmn_Hani'],amh_Ethi,Step1,"{'cmn_Hani': 0.22, 'eng_Latn': 0.15}"
text2vec_cmn_Hani,['cmn_Hani'],amh_Ethi,Step50+sbeam8,"{'cmn_Hani': 0.13, 'eng_Latn': 0.1}"
text2vec_cmn_Hani,['cmn_Hani'],amh_Ethi,Base,"{'cmn_Hani': 0.56, 'eng_Latn': 0.19}"
text2vec_cmn_Hani,['cmn_Hani'],mlt_Latn,Labels,"{'eng_Latn': 0.12, 'deu_Latn': 0.2, 'mlt_Latn': 0.25, 'fin_Latn': 0.1}"
text2vec_cmn_Hani,['cmn_Hani'],mlt_Latn,Step1,"{'eng_Latn': 0.4, 'cmn_Hani': 0.08}"
text2vec_cmn_Hani,['cmn_Hani'],mlt_Latn,Step50+sbeam8,"{'eng_Latn': 0.37, 'cmn_Hani': 0.07}"
text2vec_cmn_Hani,['cmn_Hani'],mlt_Latn,Base,"{'eng_Latn': 0.4, 'cmn_Hani': 0.08}"
text2vec_cmn_Hani,['cmn_Hani'],hin_Deva,Labels,"{'hin_Deva': 0.72, 'eng_Latn': 0.24}"
text2vec_cmn_Hani,['cmn_Hani'],hin_Deva,Step1,"{'eng_Latn': 0.23, 'cmn_Hani': 0.18}"
text2vec_cmn_Hani,['cmn_Hani'],hin_Deva,Step50+sbeam8,"{'eng_Latn': 0.21, 'cmn_Hani': 0.16}"
text2vec_cmn_Hani,['cmn_Hani'],hin_Deva,Base,"{'eng_Latn': 0.3, 'cmn_Hani': 0.32}"
text2vec_cmn_Hani,['cmn_Hani'],urd_Arab,Labels,{'urd_Arab': 0.98}
text2vec_cmn_Hani,['cmn_Hani'],urd_Arab,Step1,"{'cmn_Hani': 0.23, 'eng_Latn': 0.14}"
text2vec_cmn_Hani,['cmn_Hani'],urd_Arab,Step50+sbeam8,"{'eng_Latn': 0.13, 'cmn_Hani': 0.1}"
text2vec_cmn_Hani,['cmn_Hani'],urd_Arab,Base,"{'cmn_Hani': 0.53, 'eng_Latn': 0.24}"
text2vec_cmn_Hani,['cmn_Hani'],guj_Gujr,Labels,{'guj_Gujr': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],guj_Gujr,Step1,"{'cmn_Hani': 0.2, 'eng_Latn': 0.11}"
text2vec_cmn_Hani,['cmn_Hani'],guj_Gujr,Step50+sbeam8,"{'cmn_Hani': 0.12, 'eng_Latn': 0.07}"
text2vec_cmn_Hani,['cmn_Hani'],guj_Gujr,Base,"{'cmn_Hani': 0.55, 'eng_Latn': 0.14}"
text2vec_cmn_Hani,['cmn_Hani'],sin_Sinh,Labels,{'eng_Latn': 0.2}
text2vec_cmn_Hani,['cmn_Hani'],sin_Sinh,Step1,"{'cmn_Hani': 0.2, 'eng_Latn': 0.17}"
text2vec_cmn_Hani,['cmn_Hani'],sin_Sinh,Step50+sbeam8,"{'cmn_Hani': 0.1, 'eng_Latn': 0.15}"
text2vec_cmn_Hani,['cmn_Hani'],sin_Sinh,Base,"{'eng_Latn': 0.27, 'cmn_Hani': 0.39}"
text2vec_cmn_Hani,['cmn_Hani'],pan_Guru,Labels,{'pan_Guru': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],pan_Guru,Step1,"{'eng_Latn': 0.15, 'cmn_Hani': 0.25}"
text2vec_cmn_Hani,['cmn_Hani'],pan_Guru,Step50+sbeam8,"{'cmn_Hani': 0.17, 'eng_Latn': 0.1}"
text2vec_cmn_Hani,['cmn_Hani'],pan_Guru,Base,"{'cmn_Hani': 0.46, 'eng_Latn': 0.2}"
text2vec_cmn_Hani,['cmn_Hani'],tur_Latn,Labels,{'tur_Latn': 0.99}
text2vec_cmn_Hani,['cmn_Hani'],tur_Latn,Step1,"{'eng_Latn': 0.44, 'cmn_Hani': 0.1}"
text2vec_cmn_Hani,['cmn_Hani'],tur_Latn,Step50+sbeam8,"{'cmn_Hani': 0.1, 'eng_Latn': 0.43}"
text2vec_cmn_Hani,['cmn_Hani'],tur_Latn,Base,"{'eng_Latn': 0.46, 'cmn_Hani': 0.07}"
text2vec_cmn_Hani,['cmn_Hani'],kaz_Cyrl,Labels,{'kaz_Cyrl': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],kaz_Cyrl,Step1,"{'cmn_Hani': 0.23, 'eng_Latn': 0.07}"
text2vec_cmn_Hani,['cmn_Hani'],kaz_Cyrl,Step50+sbeam8,{'cmn_Hani': 0.16}
text2vec_cmn_Hani,['cmn_Hani'],kaz_Cyrl,Base,"{'cmn_Hani': 0.43, 'eng_Latn': 0.13}"
text2vec_cmn_Hani,['cmn_Hani'],cmn_Hani,Labels,{'cmn_Hani': 1.0}
text2vec_cmn_Hani,['cmn_Hani'],cmn_Hani,Step1,{'cmn_Hani': 0.99}
text2vec_cmn_Hani,['cmn_Hani'],cmn_Hani,Step50+sbeam8,{'cmn_Hani': 0.99}
text2vec_cmn_Hani,['cmn_Hani'],cmn_Hani,Base,{'cmn_Hani': 0.99}
text2vec_cmn_Hani,['cmn_Hani'],jpn_Jpan,Labels,{'jpn_Jpan': 0.99}
text2vec_cmn_Hani,['cmn_Hani'],jpn_Jpan,Step1,{'cmn_Hani': 0.91}
text2vec_cmn_Hani,['cmn_Hani'],jpn_Jpan,Step50+sbeam8,{'cmn_Hani': 0.87}
